CC;Caisse;Annee;Sexe;ageconj;
0060;SNCF;2017;Ensemble;56;
0060;SNCF;2017;Femmes;56;
0060;SNCF;2017;Hommes;56;
0060;SNCF;2018;Ensemble;57;
0060;SNCF;2018;Femmes;56;
0060;SNCF;2018;Hommes;57;
0060;SNCF;2019;Ensemble;57;
0060;SNCF;2019;Femmes;57;
0060;SNCF;2019;Hommes;57;
0060;SNCF;2020;Ensemble;57;
0060;SNCF;2020;Femmes;57;
0060;SNCF;2020;Hommes;57;
0060;SNCF;2021;Ensemble;58;
0060;SNCF;2021;Femmes;58;
0060;SNCF;2021;Hommes;58;
0060;SNCF;2022;Femmes;58;
0060;SNCF;2022;Hommes;58;
0060;SNCF;2022;Ensemble;58;
0040;SSI;2009;Ensemble;59;
0040;SSI;2009;Femmes;59;
0040;SSI;2009;Hommes;60;
0040;SSI;2010;Ensemble;60;
0040;SSI;2010;Femmes;60;
0040;SSI;2010;Hommes;60;
0040;SSI;2011;Ensemble;60;
0040;SSI;2011;Femmes;60;
0040;SSI;2011;Hommes;61;
0040;SSI;2012;Ensemble;61;
0040;SSI;2012;Femmes;61;
0040;SSI;2012;Hommes;61;
0040;SSI;2013;Ensemble;61;
0040;SSI;2013;Femmes;61;
0040;SSI;2013;Hommes;61;
0040;SSI;2014;Ensemble;61;
0040;SSI;2014;Femmes;61;
0040;SSI;2014;Hommes;62;
0040;SSI;2015;Ensemble;61;
0040;SSI;2015;Femmes;61;
0040;SSI;2015;Hommes;62;
0040;SSI;2016;Ensemble;61;
0040;SSI;2016;Femmes;61;
0040;SSI;2016;Hommes;62;
0040;SSI;2017;Ensemble;62;
0040;SSI;2017;Femmes;62;
0040;SSI;2017;Hommes;62;
0040;SSI;2018;Ensemble;62;
0040;SSI;2018;Femmes;62;
0040;SSI;2018;Hommes;63;
0040;SSI;2019;Ensemble;63;
0040;SSI;2019;Femmes;63;
0040;SSI;2019;Hommes;62;
